"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0007265","Ras protein signal transduction",0.00882130466154179,34,0.870635905016437,0.81261884811694,1,182707,8,103,1.13013725081292,0.413390883265752,0.718144743125186
"GO:0006893","Golgi to plasma membrane transport",0.00563760207547677,21,0.841424889501397,0.813034010901265,1,432417,3,64,0.682055489260143,0.82520728734478,0.911251112677658
"GO:0018108","peptidyl-tyrosine phosphorylation",0.00760640101687943,29,0.861210384289333,0.813262493175838,1,338656,4,54,1.07781608179381,0.513667507944857,0.766099312254311
"GO:0019755","one-carbon compound transport",0.00154789517178441,5,0.729657308330275,0.813339917273565,1,216199,2,25,1.16404136833731,0.520397547821403,0.771568359316367
"GO:0008333","endosome to lysosome transport",0.00312656664003981,11,0.794722435257598,0.813977583927998,1,409164,2,59,0.493237867939539,0.920117094569219,0.95607477520805
"GO:0033047","regulation of mitotic sister chromatid segregation",0.00364018746461575,13,0.806696328845866,0.814863155577022,1,90103,4,52,1.11927054647818,0.483705418398507,0.748710909590962
"GO:0030149","sphingolipid catabolic process",0.00208939973418573,7,0.756775359257196,0.815317556589078,1,25849,2,31,0.938743038981703,0.638577946175479,0.821126827081097
"GO:1904427","positive regulation of calcium ion transmembrane transport",0.00614243004928834,23,0.845820281479881,0.815319466006522,1,55411,11,65,2.462395202252,0.00446576892737259,0.246438461357751
"GO:0006812","monoatomic cation transport",0.0921374657724426,391,0.958585758626632,0.816621987692587,1,270951,86,986,1.26911203951583,0.0127957536509402,0.306408511441846
"GO:0007292","female gamete generation",0.0148622089795593,59,0.896724686677805,0.816706289510833,1,170330,18,176,1.48812106747668,0.0589335222869125,0.437974903206775
"GO:0072273","metanephric nephron morphogenesis",0.00365152295355734,13,0.804192086799146,0.818067018976234,1,66234,2,22,1.32277428220149,0.452328335546871,0.736514711485864
"GO:0042953","lipoprotein transport",0.00183127404295131,6,0.74009656542814,0.818624913553559,1,81888,3,22,1.98416142330223,0.189483647076942,0.606355979421178
"GO:0018212","peptidyl-tyrosine modification",0.00763446542972052,29,0.858044561614488,0.818830913360329,1,338656,4,55,1.05821942576119,0.528344521167886,0.778527364011546
"GO:0140029","exocytic process",0.00812512382255581,31,0.86183114320238,0.81913149515807,1,202640,9,95,1.37847004145208,0.204985668140362,0.615688834501575
"GO:0007213","G protein-coupled acetylcholine receptor signaling pathway",0.00236474186414305,8,0.764181861367558,0.819390419892901,1,497442,1,17,0.855912770836258,0.702094836313171,0.853449685716247
"GO:0002064","epithelial cell development",0.0276758789127914,113,0.922289999782146,0.820185405434125,1,222430,23,230,1.45505171042164,0.0452074884507632,0.413225714691663
"GO:0030728","ovulation",0.00366078089961761,13,0.802158322100894,0.820653057751435,1,205987,2,24,1.21254309201803,0.498339711857789,0.759038566619865
"GO:0090398","cellular senescence",0.00837947292240354,32,0.862628404496966,0.821047656279322,1,184825,9,85,1.54064298750526,0.128752080692793,0.544352878264758
"GO:0016441","post-transcriptional gene silencing",0.00417008398695689,15,0.812525379455852,0.821117823778027,1,308060,4,71,0.819747442491064,0.728021853842016,0.866528871546354
"GO:0050810","regulation of steroid biosynthetic process",0.00911290798251123,35,0.86756402978326,0.821481049272591,1,284473,7,88,1.1574274969263,0.401592580448663,0.71007440624806
"GO:0060294","cilium movement involved in cell motility",0.0168066603141009,67,0.900500292567473,0.82163924676011,1,180755,17,222,1.11422878725981,0.35760148832658,0.689042693688937
"GO:0003014","renal system process",0.012259656153685,48,0.884409554431811,0.821846381687116,1,210886,11,136,1.17688005989986,0.332536665141114,0.684109416109954
"GO:0050901","leukocyte tethering or rolling",0.00315434311581208,11,0.787724278222001,0.822358103669413,1,102332,3,31,1.40811455847255,0.359782217201975,0.689042693688937
"GO:0021516","dorsal spinal cord development",0.00211032682450857,7,0.749270784082704,0.822940799395533,1,55996,1,19,0.765816689695599,0.741671976818231,0.873005922541086
"GO:0044872","lipoprotein localization",0.00184610653858376,6,0.734150278556351,0.824329215015119,1,81888,3,23,1.89789353533257,0.207540910271039,0.615688834501575
"GO:0002699","positive regulation of immune effector process",0.0194490280228158,78,0.905914432506776,0.824907780848891,1,348805,16,291,0.800028431846949,0.854606147813153,0.923908972991586
"GO:0006879","intracellular iron ion homeostasis",0.00544817597087132,20,0.829219196046644,0.826561234899976,1,418895,7,65,1.56697876506946,0.157349424702742,0.577954218440004
"GO:2000252","negative regulation of feeding behavior",0.00212214191549915,7,0.745099195733278,0.827134589306388,1,670104,2,18,1.61672412269071,0.353715509282917,0.686489224423375
"GO:0099509","regulation of presynaptic cytosolic calcium ion concentration",0.00238925871645677,8,0.756340377434935,0.827672377525822,1,148821,4,24,2.42508618403606,0.0786055070742563,0.486282957758313
"GO:0060260","regulation of transcription initiation by RNA polymerase II",0.00520419612228995,19,0.824689422287516,0.82792693016833,1,130081,8,70,1.66291624048187,0.106380675265402,0.527165282383947
"GO:0098655","monoatomic cation transmembrane transport",0.0750387796831384,316,0.951243709685848,0.829410903022028,1,274230,68,756,1.30877667074962,0.0135254934652246,0.306408511441846
"GO:0006644","phospholipid metabolic process",0.0254099601278594,103,0.9156378125008,0.829709574616959,1,244438,27,328,1.19775598113976,0.189503321048173,0.606355979421178
"GO:0072497","mesenchymal stem cell differentiation",0.00266408124089447,9,0.763107150454757,0.831352583638438,1,227660,2,13,2.23854109295637,0.223507987641826,0.628775555412844
"GO:0002440","production of molecular mediator of immune response",0.0164044403632601,65,0.895039940098475,0.831483318388522,1,352618,12,229,0.762472512011339,0.870017866620119,0.93235680914552
"GO:0050931","pigment cell differentiation",0.00597407258574796,22,0.831845485137009,0.832471206113608,1,350020,3,37,1.17977165709863,0.472162905234825,0.74417124997609
