"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper","fold_enrichment_final","term_name_final","padj_final","neglog10_padj","dataset"
"GO:0070169","positive regulation of biomineral tissue development",0.00659842037943841,84,2.87560866427526,8.58143143199438e-17,5.55009876128718e-15,383396,8,55,2.11643885152238,0.033267785528952,0.391203001330625,2.87560866427526,"positive regulation of biomineral tissue development",5.55009876128718e-15,14.2556992887511,"mouse_specific"
"GO:0030501","positive regulation of bone mineralization",0.00622321464043501,81,2.94009062133065,9.08392148194395e-17,5.79675309501116e-15,392946,7,45,2.26341377176699,0.0326164302311189,0.389282381760935,2.94009062133065,"positive regulation of bone mineralization",5.79675309501116e-15,14.2368151974312,"mouse_specific"
"GO:0040037","negative regulation of fibroblast growth factor receptor signaling pathway",0.00217035532917938,45,4.68351752587819,1.02076571365638e-16,6.42813777047291e-15,400684,5,17,4.27956385418129,0.00468585790857802,0.246438461357751,4.68351752587819,"negative regulation of fibroblast growth factor receptor signaling pathway",6.42813777047291e-15,14.1919148238323,"mouse_specific"
"GO:1903514","release of sequestered calcium ion into cytosol by endoplasmic reticulum",0.00421437354372668,64,3.43034203426904,1.4911191404068e-16,9.26817689089212e-15,347933,4,31,1.8774860779634,0.160884431139236,0.579377642913756,3.43034203426904,"release of sequestered calcium ion into cytosol by endoplasmic reticulum",9.26817689089212e-15,14.0330056859303,"mouse_specific"
"GO:0071312","cellular response to alkaloid",0.00380090250687134,60,3.56578372398607,2.40085658480416e-16,1.47314097626573e-14,390513,3,35,1.2471871803614,0.435527938781797,0.723225381818469,3.56578372398607,"cellular response to alkaloid",1.47314097626573e-14,13.8317556901671,"mouse_specific"
"GO:0032753","positive regulation of interleukin-4 production",0.00159340901059493,38,5.38699789573775,3.15306492120613e-16,1.91019857125222e-14,475228,2,25,1.16404136833731,0.520397547821403,0.771568359316367,5.38699789573775,"positive regulation of interleukin-4 production",1.91019857125222e-14,13.7189214841049,"mouse_specific"
"GO:1902570","protein localization to nucleolus",0.00111296381153068,32,6.4947047538205,4.34316119695885e-16,2.59829618608063e-14,460170,2,22,1.32277428220149,0.452328335546871,0.736514711485864,6.4947047538205,"protein localization to nucleolus",2.59829618608063e-14,13.5853113441604,"mouse_specific"
"GO:0010882","regulation of cardiac muscle contraction by calcium ion signaling",0.00287619458853051,51,4.00536768168616,4.79773633683259e-16,2.83481063062725e-14,381887,2,19,1.5316333793912,0.379071437432384,0.705653792124228,4.00536768168616,"regulation of cardiac muscle contraction by calcium ion signaling",2.83481063062725e-14,13.5474759472898,"mouse_specific"
"GO:0009415","response to water",0.00040849566014546,21,11.6124090564922,8.49919075007939e-16,4.96062523535122e-14,173640,1,12,1.21254309201803,0.574584227507862,0.794482645326004,11.6124090564922,"response to water",4.96062523535122e-14,13.3044635817457,"mouse_specific"
"GO:0042713","sperm ejaculation",0.000917877875228845,29,7.13680078754735,9.54989806860333e-16,5.506724356185e-14,262965,2,6,4.85017236807213,0.0588044388829434,0.437821115616924,7.13680078754735,"sperm ejaculation",5.506724356185e-14,13.2591066619578,"mouse_specific"
