"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:2001300","lipoxin metabolic process",0.000156212067739024,5,5.24545565608715,0.00298845394508753,0.0115438736401555,63078,2,5,4.31797235023041,0.0709617240083788,0.865914986040704
"GO:2001302","lipoxin A4 metabolic process",0.000156212067739024,5,5.24545565608715,0.00298845394508753,0.0115438736401555,63078,2,5,4.31797235023041,0.0709617240083788,0.865914986040704
"GO:1901679","nucleotide transmembrane transport",0.00184934494530405,22,1.94954180719296,0.00300818027089603,0.0116106487503603,158249,3,20,1.61923963133641,0.281281701412651,0.99014824570132
"GO:0002468","dendritic cell antigen processing and presentation",0.000759209284756009,12,2.59028488947124,0.00301457376478063,0.0116258967152277,210363,2,12,1.79915514592934,0.307004701941839,0.99014824570132
"GO:1904951","positive regulation of establishment of protein localization",0.0267001860573108,199,1.22142438281045,0.00302198877490966,0.011645056339915,170129,26,238,1.17927816287805,0.214605872166941,0.99014824570132
"GO:0032008","positive regulation of TOR signaling",0.00617858996085662,56,1.48534195827422,0.00306084603299915,0.011785247792106,194740,5,64,0.843353974654378,0.71873402001461,0.99950884189564
"GO:0042269","regulation of natural killer cell mediated cytotoxicity",0.00407326568315487,40,1.6093297869754,0.00307052981824601,0.0118129760752084,284324,3,36,0.89957757296467,0.660723064757765,0.99950884189564
"GO:0010959","regulation of metal ion transport",0.0384179096570247,277,1.18160912136713,0.00309713304838424,0.0119056996585304,238708,32,270,1.27939921488309,0.087797697738809,0.901694242270543
"GO:0051694","pointed-end actin filament capping",0.000389140159496301,8,3.36908316152764,0.00312638292666737,0.0120084393446408,49745,2,6,3.59831029185868,0.100040882521296,0.901694242270543
"GO:0030948","negative regulation of vascular endothelial growth factor receptor signaling pathway",0.000665194359585465,11,2.71001642966276,0.00315482460731038,0.0121079115372501,127377,1,9,1.19943676395289,0.58320742659803,0.99014824570132
"GO:0051121","hepoxilin metabolic process",0.000158991186738576,5,5.1537666400217,0.00321927321213452,0.012335363298348,63078,2,8,2.69873271889401,0.16523187469787,0.96365011236172
"GO:0051122","hepoxilin biosynthetic process",0.000158991186738576,5,5.1537666400217,0.00321927321213452,0.012335363298348,63078,2,8,2.69873271889401,0.16523187469787,0.96365011236172
"GO:0071481","cellular response to X-ray",0.00151844739200691,19,2.05060327978397,0.00327921868226325,0.0125549490819717,204159,1,6,1.79915514592934,0.44199032929871,0.99014824570132
"GO:0002920","regulation of humoral immune response",0.00152118868148192,19,2.04690794780003,0.00334195590975634,0.0127848618766322,180471,4,30,1.43932411674347,0.30070025269036,0.99014824570132
"GO:0050954","sensory perception of mechanical stimulus",0.0242578988925434,182,1.22954945915052,0.00341868493047011,0.0130678888225761,169782,25,153,1.76387759404837,0.0036042050359021,0.499952010749668
"GO:0031167","rRNA methylation",0.000673533517990051,11,2.67646315327433,0.00345896708977278,0.0132055006452817,239200,1,16,0.674683179723502,0.789076337273542,0.99950884189564
"GO:1900424","regulation of defense response to bacterium",0.000233232529359562,6,4.21589634955681,0.00346023519745037,0.0132055006452817,90641,2,11,1.96271470465019,0.27128223259496,0.99014824570132
"GO:0007210","serotonin receptor signaling pathway",0.00247045079543916,27,1.79108151809005,0.00349162087192211,0.0133146023473376,125278,3,10,3.23847926267281,0.0580231739536048,0.839307856672357
"GO:0090287","regulation of cellular response to growth factor stimulus",0.0432325831315286,308,1.16752806237633,0.00355345883443504,0.0135395601225591,243767,29,243,1.28828393165311,0.0937980738453779,0.901694242270543
"GO:0170038","proteinogenic amino acid biosynthetic process",0.00385667499213439,38,1.61472419043823,0.00362260961683625,0.013791999333219,334271,1,36,0.299859190988223,0.969929310055171,0.99950884189564
"GO:0043406","positive regulation of MAP kinase activity",0.00334879966423235,34,1.66386293111333,0.00365274884590495,0.0138956289030069,312362,3,24,1.349366359447,0.38633191920598,0.99014824570132
"GO:0032944","regulation of mononuclear cell proliferation",0.0223837904702618,169,1.23731668535525,0.00369066911430234,0.0140286695806428,277036,13,176,0.797352848764139,0.840528815146279,0.99950884189564
"GO:0006368","transcription elongation by RNA polymerase II",0.00570048872052829,52,1.49492377762759,0.00370048066901393,0.014038869470523,86032,9,84,1.15659973666886,0.375209515620319,0.99014824570132
"GO:0016486","peptide hormone processing",0.00451022010991765,43,1.56242261064659,0.00370324268999068,0.014038869470523,123191,4,30,1.43932411674347,0.30070025269036,0.99014824570132
"GO:0042113","B cell activation",0.0247539349303175,185,1.22477208707877,0.00370544085624262,0.014038869470523,296317,15,217,0.74619337849604,0.911578805331058,0.99950884189564
"GO:0048245","eosinophil chemotaxis",0.000400502077052563,8,3.27350501770583,0.00370806096757351,0.014038869470523,48975,1,15,0.719662058371736,0.767517018002868,0.99950884189564
"GO:0055015","ventricular cardiac muscle cell development",0.00165083271385235,20,1.98543066755344,0.00370810231654706,0.014038869470523,114379,1,11,0.981357352325094,0.656898189172643,0.99950884189564
"GO:0010469","regulation of signaling receptor activity",0.00272928040237068,29,1.74131618966016,0.00374561791875896,0.014169630902523,61235,6,25,2.59078341013825,0.0238094227851302,0.670424102084136
"GO:0016101","diterpenoid metabolic process",0.00651635942742781,58,1.45864886788364,0.00379840252783569,0.0143579012152264,202583,8,73,1.1830061233508,0.363925198152198,0.99014824570132
"GO:0071362","cellular response to ether",0.000585355598386383,10,2.79967758582829,0.00380179051277167,0.0143593024208575,124349,1,9,1.19943676395289,0.58320742659803,0.99014824570132
"GO:0086003","cardiac muscle cell contraction",0.0109751890289551,90,1.34387321238488,0.0040002283525468,0.0150968173907774,158292,11,67,1.7723020840498,0.0428639972571371,0.790255601678585
"GO:0048525","negative regulation of viral process",0.00440487073863128,42,1.56258596274107,0.0040742614057261,0.0153640333041605,337999,6,45,1.43932411674347,0.234641899819202,0.99014824570132
"GO:0001916","positive regulation of T cell mediated cytotoxicity",0.00132546592711387,17,2.10188112386018,0.00410721304212682,0.0154760307739363,208204,1,18,0.599718381976447,0.826386260548509,0.99950884189564
